player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Caleb Martin,MIA,27,195.58,92.98636,Nevada,USA,Undrafted,Undrafted,Undrafted,71,9.6,4.8,1.6,0,0.044,0.13,0.143,0.571,0.082,2022-23
Isaiah Joe,OKC,23,190.5,74.84268,Arkansas,USA,2020,2,49,73,9.5,2.4,1.2,5.1,0.018,0.108,0.17,0.626,0.087,2022-23
Andrew Nembhard,IND,23,190.5,86.636072,Gonzaga,Canada,2022,2,31,75,9.5,2.7,4.5,-5.9,0.016,0.078,0.159,0.528,0.222,2022-23
Donte DiVincenzo,GSW,26,193.04,92.079176,Villanova,USA,2018,1,17,72,9.4,4.5,3.5,2.9,0.041,0.123,0.146,0.593,0.176,2022-23
Gabe Vincent,MIA,27,187.96,90.7184,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,68,9.4,2.1,2.5,-0.7,0.016,0.071,0.17,0.533,0.139,2022-23
Chris Boucher,TOR,30,205.74,90.7184,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,76,9.4,5.5,0.4,-1.3,0.094,0.19,0.175,0.59,0.029,2022-23
Kyle Anderson,MIN,29,205.74,104.32616,UCLA,USA,2014,1,30,69,9.4,5.3,4.9,2.3,0.035,0.152,0.143,0.583,0.225,2022-23
Jalen McDaniels,PHI,25,205.74,92.98636,San Diego State,USA,2019,2,52,80,9.4,4.3,1.6,-3.4,0.031,0.145,0.165,0.557,0.094,2022-23
Jalen Smith,IND,23,205.74,97.52228,Maryland,USA,2020,1,10,68,9.4,5.8,1,-3.8,0.093,0.201,0.201,0.565,0.076,2022-23
Michael Jordan,CHI,34,198.12,97.975872,North Carolina,USA,1984,1,3,82,29.6,5.9,4.3,13.4,0.042,0.132,0.331,0.5670000000000001,0.20800000000000002,1996-97
Power Play,CHI,99,231.1,188.975872,Atlantis,The Moon,1000,1,1,1700,29.6,55.9,54.3,93.4,0.5,0.132,0.5,0.8670000000000001,0.80800000000000002,1000-2000

