player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Saddiq Bey,ATL,24,200.66,97.52228,Villanova,USA,2020,1,19,77,13.8,4.7,1.5,-3.1,0.044,0.127,0.194,0.564,0.08,2022-23
Luguentz Dort,OKC,24,193.04,99.79024,Arizona State,Canada,Undrafted,Undrafted,Undrafted,74,13.7,4.6,2.1,0.9,0.053,0.092,0.194,0.513,0.09,2022-23
Malik Monk,SAC,25,190.5,90.7184,Kentucky,USA,2017,1,11,77,13.5,2.6,3.9,1,0.019,0.097,0.247,0.587,0.258,2022-23
Rudy Gobert,MIN,31,215.9,117.026736,None,France,2013,1,27,70,13.4,11.6,1.2,0.4,0.111,0.26,0.161,0.675,0.058,2022-23
Jusuf Nurkic,POR,28,213.36,131.54168,None,Bosnia and Herzegovina,2014,1,16,52,13.3,9.1,2.9,0.3,0.084,0.258,0.218,0.589,0.16,2022-23
Kris Dunn,UTA,29,190.5,92.98636,Providence,USA,2016,1,5,22,13.2,4.5,5.6,-4.3,0.015,0.148,0.195,0.606,0.315,2022-23
John Collins,ATL,25,205.74,102.511792,Wake Forest,USA,2017,1,19,71,13.1,6.5,1.2,-0.2,0.035,0.18,0.168,0.593,0.052,2022-23
Austin Reaves,LAL,25,195.58,89.357624,Oklahoma,USA,Undrafted,Undrafted,Undrafted,64,13,3,3.4,4.9,0.018,0.079,0.154,0.687,0.155,2022-23
Cole Anthony,ORL,23,190.5,83.91452,North Carolina,USA,2020,1,15,60,13,4.8,3.9,-0.1,0.03,0.152,0.209,0.57,0.228,2022-23
Tre Jones,SAS,23,185.42,83.91452,Duke,USA,2020,2,41,68,12.9,3.6,6.6,-7.8,0.026,0.099,0.189,0.534,0.306,2022-23
Alec Burks,DET,31,198.12,97.068688,Colorado,USA,2011,1,12,51,12.8,3.1,2.2,-1,0.017,0.124,0.218,0.602,0.15,2022-23
Jabari Smith Jr.,HOU,20,210.82,99.79024,Auburn,USA,2022,1,3,79,12.8,7.2,1.3,-11.3,0.047,0.18,0.183,0.514,0.059,2022-23
Kenyon Martin Jr.,HOU,22,200.66,97.52228,None,USA,2020,2,52,82,12.7,5.5,1.5,-8,0.052,0.143,0.16,0.635,0.079,2022-23
Malik Beasley,LAL,26,193.04,84.821704,Florida State,USA,2016,1,19,81,12.7,3.5,1.5,-2.2,0.016,0.116,0.207,0.531,0.086,2022-23
Nic Claxton,BKN,24,210.82,97.52228,Georgia,USA,2019,2,31,76,12.6,9.2,1.9,3.7,0.088,0.213,0.155,0.691,0.091,2022-23
Dennis Schroder,LAL,29,185.42,78.017824,None,Germany,2013,1,17,66,12.6,2.5,4.5,2.8,0.011,0.067,0.183,0.545,0.202,2022-23
Kelly Olynyk,UTA,32,210.82,108.86208,Gonzaga,Canada,2013,1,13,68,12.5,6.2,3.7,0.4,0.042,0.164,0.176,0.643,0.173,2022-23
Mac McClung,PHI,24,187.96,83.91452,Texas Tech,USA,Undrafted,Undrafted,Undrafted,2,12.5,5,4.5,19.6,0.073,0.152,0.243,0.563,0.29,2022-23
Jakob Poeltl,TOR,27,215.9,111.13004,Utah,Austria,2016,1,9,72,12.5,9.1,2.7,-3.1,0.117,0.24,0.18,0.635,0.146,2022-23
Derrick White,BOS,28,193.04,86.18248,Colorado,USA,2017,1,29,82,12.4,3.6,3.9,11,0.023,0.098,0.174,0.604,0.191,2022-23
Eric Gordon,LAC,34,190.5,97.52228,Indiana,USA,2008,1,7,69,12.4,1.9,2.7,-5.8,0.008,0.059,0.171,0.587,0.133,2022-23
Keegan Murray,SAC,22,203.2,102.0582,Iowa,USA,2022,1,4,80,12.2,4.6,1.2,1.7,0.038,0.123,0.156,0.597,0.053,2022-23
Caris LeVert,CLE,28,198.12,92.98636,Michigan,USA,2016,1,20,74,12.1,3.8,3.9,4.5,0.024,0.105,0.183,0.546,0.182,2022-23
Jaden McDaniels,MIN,22,205.74,83.91452,Washington,USA,2020,1,28,79,12.1,3.9,1.9,2,0.039,0.086,0.156,0.611,0.082,2022-23
Clint Capela,ATL,29,208.28,116.119552,None,Switzerland,2014,1,25,65,12,11,0.9,-1.1,0.142,0.268,0.151,0.656,0.045,2022-23
Marvin Bagley III,DET,24,208.28,106.59412,Duke,USA,2018,1,2,42,12,6.4,0.9,-10.6,0.091,0.179,0.202,0.587,0.058,2022-23
Mike Conley,MIN,35,185.42,79.3786,Ohio State,USA,2007,1,4,67,11.9,2.7,6.7,1.3,0.016,0.075,0.161,0.583,0.295,2022-23
Bones Hyland,LAC,22,187.96,76.657048,Virginia Commonwealth,USA,2021,1,26,56,11.8,2.4,3.1,-5.3,0.019,0.111,0.271,0.535,0.245,2022-23
Lonnie Walker IV,LAL,24,193.04,92.532768,Miami,USA,2018,1,18,56,11.7,1.9,1.1,-7.3,0.011,0.069,0.198,0.57,0.071,2022-23
Zach Collins,SAS,25,210.82,113.398,Gonzaga,USA,2017,1,10,63,11.6,6.4,2.9,-7.5,0.076,0.19,0.209,0.599,0.18,2022-23
Naz Reid,MIN,23,205.74,119.748288,Louisiana State,USA,Undrafted,Undrafted,Undrafted,68,11.5,4.9,1.1,-4.2,0.058,0.205,0.242,0.617,0.098,2022-23
Bruce Brown,DEN,26,193.04,91.625584,Miami,USA,2018,2,42,80,11.5,4.1,3.4,0.8,0.029,0.116,0.174,0.571,0.164,2022-23
Marcus Smart,BOS,29,193.04,99.79024,Oklahoma State,USA,2014,1,6,61,11.5,3.1,6.3,6.3,0.024,0.073,0.176,0.538,0.256,2022-23
Max Strus,MIA,27,195.58,97.52228,DePaul,USA,Undrafted,Undrafted,Undrafted,80,11.5,3.2,2.1,-3.8,0.021,0.097,0.17,0.557,0.115,2022-23
John Wall,LAC,32,190.5,95.25432,Kentucky,USA,2010,1,1,34,11.4,2.7,5.2,-6.6,0.018,0.096,0.259,0.497,0.38,2022-23
Quentin Grimes,NYK,23,195.58,95.25432,Houston,USA,2021,1,25,71,11.3,3.2,2.1,4.4,0.022,0.085,0.142,0.619,0.096,2022-23
Isaiah Stewart,DET,22,203.2,113.398,Washington,USA,2020,1,16,50,11.3,8.1,1.4,-8,0.078,0.202,0.17,0.56,0.073,2022-23
Rui Hachimura,LAL,25,203.2,104.32616,Gonzaga,Japan,2019,1,9,63,11.2,4.5,0.9,-1.2,0.036,0.141,0.194,0.556,0.06,2022-23
Kyle Lowry,MIA,37,182.88,88.904032,Villanova,USA,2006,1,24,55,11.2,4.1,5.1,1.1,0.025,0.112,0.162,0.565,0.233,2022-23
Marcus Morris Sr.,LAC,33,203.2,98.883056,Kansas,USA,2011,1,14,65,11.2,4,1.8,-0.3,0.017,0.127,0.176,0.534,0.09,2022-23
Corey Kispert,WAS,24,198.12,101.604608,Gonzaga,USA,2021,1,15,74,11.1,2.8,1.2,-3.2,0.016,0.082,0.139,0.657,0.056,2022-23
