player_name,league,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Zach LaVine,NBA,CHI,28,195.58,90.7184,UCLA,USA,2014,1,13,77,24.8,4.5,4.2,0.3,0.016,0.108,0.278,0.607,0.187,2022-23
Jalen Brunson,NBA,NYK,26,187.96,86.18248,Villanova,USA,2018,2,33,68,24,3.5,6.2,2.1,0.016,0.085,0.266,0.597,0.28,2022-23
Bradley Beal,NBA,WAS,30,193.04,93.893544,Florida,USA,2012,1,3,50,23.2,3.9,5.4,0.7,0.026,0.091,0.288,0.593,0.26,2022-23
Darius Garland,NBA,CLE,23,185.42,87.089664,Vanderbilt,USA,2019,1,5,69,21.6,2.7,7.8,8,0.012,0.067,0.262,0.587,0.328,2022-23
Desmond Bane,NBA,MEM,25,195.58,97.52228,TCU,USA,2020,1,30,58,21.5,5,4.4,9,0.022,0.123,0.252,0.606,0.202,2022-23
Kyle Kuzma,NBA,WAS,27,205.74,100.243832,Utah,USA,2017,1,27,64,21.2,7.2,3.7,0.3,0.025,0.172,0.273,0.544,0.164,2022-23
Tyrese Haliburton,NBA,IND,23,195.58,83.91452,Iowa State,USA,2020,1,12,56,20.7,3.7,10.4,-1,0.018,0.092,0.238,0.624,0.457,2022-23
Paolo Banchero,NBA,ORL,20,208.28,113.398,Duke,USA,2022,1,1,72,20,6.9,3.7,-4.2,0.035,0.174,0.272,0.529,0.171,2022-23
Cade Cunningham,NBA,DET,21,200.66,99.79024,Oklahoma State,USA,2021,1,1,12,19.9,6.2,6,-6.1,0.027,0.148,0.287,0.492,0.306,2022-23
Deandre Ayton,NBA,PHX,24,213.36,113.398,Arizona,Bahamas,2018,1,1,67,18,10,1.7,0,0.084,0.247,0.231,0.617,0.09,2022-23
Josh Giddey,NBA,OKC,20,203.2,97.975872,None,Australia,2021,1,6,76,16.6,7.9,6.2,-2.2,0.058,0.189,0.239,0.533,0.293,2022-23
Jalen Green,NBA,HOU,21,193.04,84.368112,None,USA,2021,1,2,76,22.1,3.7,3.7,-8.7,0.016,0.093,0.274,0.538,0.169,2022-23
Keldon Johnson,NBA,SAS,23,195.58,99.79024,Kentucky,USA,2019,1,29,63,22,5,2.9,-11.3,0.025,0.133,0.273,0.551,0.137,2022-23
Klay Thompson,NBA,GSW,33,198.12,99.79024,Washington State,USA,2011,1,11,69,21.9,4.1,2.4,2.9,0.017,0.101,0.256,0.576,0.105,2022-23
Breanna Stewart,WNBA,SEA,22,193,77,Connecticut,US,,,,29,20.1,8.6,2.7,,0.17,0.83,,,,2016-2017
